Plant bioelectric data log. Project: Setup
R0-2020-05-03.csv
Channel0 is the control (a potato).
Channel1 is the plant connected to tinned copper wire.
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Time                 Value in mV
"('17:16:49:299238', 10.7033, 96.5718)"
"('17:16:51:556016', 10.8361, 96.1733)"
"('17:16:53:812144', 10.7814, 95.853)"
"('17:16:56:068129', 10.7658, 96.1108)"
"('17:16:58:324135', 10.8049, 96.3452)"
"('17:17:00:581037', 10.7189, 96.9702)"
"('17:17:02:837244', 10.6955, 96.9155)"
Plant bioelectric data log. Project: Setup
R0-2020-05-03.csv
Channel0 is the control (a potato).
Channel1 is the plant connected to tinned copper wire.
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Time                 Value in mV
"('17:17:53:442941', 10.797, 94.8764)"
"('17:17:55:699496', 11.1799, 93.5092)"
"('17:17:57:957021', 11.1642, 92.603)"
"('17:18:00:212480', 11.2267, 93.267)"
"('17:18:02:468434', 11.2033, 91.8452)"
"('17:18:04:724904', 11.4299, 92.0873)"
"('17:18:06:980432', 11.172, 92.3139)"
"('17:18:09:235939', 11.6408, 92.767)"
"('17:18:11:491966', 11.4767, 92.7436)"
"('17:18:13:748008', 11.8596, 92.8842)"
"('17:18:16:003569', 11.7892, 92.9624)"
"('17:18:18:259130', 11.6486, 92.8842)"
"('17:18:20:515873', 11.6877, 93.3217)"
"('17:18:22:773465', 11.6096, 93.5561)"
"('17:18:25:029064', 11.4924, 93.6421)"
"('17:18:27:284626', 11.5627, 93.5405)"
"('17:18:29:541199', 11.5314, 93.1264)"
"('17:18:31:798525', 11.4767, 92.1655)"
"('17:18:34:054042', 11.5705, 90.7904)"
"('17:18:36:309682', 11.4142, 90.9858)"
"('17:18:38:566132', 11.3517, 90.8451)"
"('17:18:40:821788', 11.3049, 91.0248)"
"('17:18:43:077368', 11.3283, 90.5404)"
"('17:18:45:333052', 11.2892, 89.9701)"
"('17:18:47:589652', 11.1955, 90.0717)"
"('17:18:49:845203', 11.2736, 89.4311)"
"('17:18:52:100738', 11.1955, 88.7201)"
"('17:18:54:356488', 11.1408, 88.0404)"
"('17:18:56:613094', 11.0783, 88.1185)"
"('17:18:58:867927', 11.047, 87.056)"
"('17:19:01:123539', 10.9924, 86.806)"
"('17:19:03:379328', 10.7424, 87.0013)"
"('17:19:05:635917', 10.758, 86.9154)"
"('17:19:07:891544', 10.6877, 86.5951)"
"('17:19:10:147119', 10.7267, 86.3373)"
"('17:19:12:402854', 10.6486, 86.0169)"
"('17:19:14:659531', 10.7267, 85.2904)"
"('17:19:16:915160', 10.7033, 85.1888)"
"('17:19:19:170705', 10.5705, 84.7435)"
"('17:19:21:426429', 10.758, 84.5013)"
"('17:19:23:683002', 11.0705, 83.9857)"
"('17:19:25:938550', 11.0158, 82.4388)"
"('17:19:28:194113', 10.9377, 82.6731)"
"('17:19:30:449938', 10.8049, 81.8762)"
"('17:19:32:706447', 10.8908, 80.7903)"
"('17:19:34:961963', 12.1252, 80.9856)"
"('17:19:37:217521', 12.1877, 81.7434)"
"('17:19:39:473404', 12.0002, 82.0794)"
"('17:19:41:730957', 11.4689, 81.9622)"
"('17:19:43:986511', 11.3205, 81.8059)"
"('17:19:46:242058', 10.8752, 81.5637)"
"('17:19:48:498087', 10.8049, 81.0403)"
"('17:19:50:754428', 10.7658, 80.4778)"
"('17:19:53:009927', 10.6095, 80.5559)"
"('17:19:55:265604', 10.6173, 80.72)"
"('17:19:57:522235', 10.6173, 81.2981)"
"('17:19:59:777903', 10.5705, 81.9622)"
"('17:20:02:033414', 10.7033, 80.5715)"
"('17:20:04:288987', 10.6642, 81.3684)"
"('17:20:06:545053', 10.5705, 79.9153)"
"('17:20:08:801394', 10.4767, 80.22)"
"('17:20:11:056909', 10.6173, 80.095)"
"('17:20:13:312645', 10.5627, 78.3059)"
"('17:20:15:569322', 10.4455, 77.3293)"
"('17:20:17:825035', 10.5002, 77.6887)"
"('17:20:20:080623', 10.5002, 76.6965)"
