Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:45:23:346759', 79.1731)"
"('13:45:24:602421', 78.7981)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:46:44:431532', 88.4388)"
"('13:46:45:689238', 81.5169)"
"('13:46:46:944847', 68.0557)"
"('13:46:48:210684', 78.1184)"
"('13:46:49:465273', 65.6104)"
"('13:46:50:720260', 77.2356)"
"('13:46:51:975434', 78.9934)"
"('13:46:53:232725', 66.1651)"
"('13:46:54:488461', 64.5557)"
"('13:46:55:751025', 63.9775)"
"('13:46:57:013156', 63.2744)"
"('13:46:58:273510', 62.9697)"
"('13:46:59:536122', 62.6963)"
"('13:47:00:795060', 62.5947)"
"('13:47:02:055018', 74.5871)"
"('13:47:03:312518', 76.6105)"
"('13:47:04:573059', 77.4074)"
"('13:47:05:839591', 64.7979)"
"('13:47:07:099537', 63.0556)"
"('13:47:08:362220', 62.3447)"
"('13:47:09:621106', 74.4855)"
"('13:47:10:887551', 64.1416)"
"('13:47:12:145019', 62.5478)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:47:23:947353', 84.8529)"
"('13:47:25:202250', 82.0403)"
"('13:47:26:457398', 81.22)"
"('13:47:27:720155', 66.8526)"
"('13:47:28:980414', 64.6338)"
"('13:47:30:235103', 76.4855)"
"('13:47:31:490855', 77.9231)"
"('13:47:32:746100', 78.3137)"
"('13:47:34:009752', 65.7432)"
"('13:47:35:270050', 63.5478)"
"('13:47:36:529242', 74.6808)"
"('13:47:37:784807', 62.4697)"
"('13:47:39:041248', 61.8134)"
"('13:47:40:297470', 61.5556)"
"('13:47:41:554630', 73.7042)"
"('13:47:42:814760', 62.915)"
"('13:47:44:074558', 74.1652)"
"('13:47:45:330739', 75.8762)"
"('13:47:46:590368', 76.6965)"
"('13:47:47:847660', 64.0713)"
"('13:47:49:107762', 75.0246)"
"('13:47:50:364003', 76.4934)"
"('13:47:51:619579', 63.9229)"
"('13:47:52:874932', 74.9465)"
"('13:47:54:131667', 76.4543)"
"('13:47:55:389453', 74.9699)"
"('13:47:56:649634', 62.5635)"
"('13:47:57:907390', 61.7119)"
"('13:47:59:164112', 61.2431)"
"('13:48:00:421024', 73.3683)"
"('13:48:01:680794', 62.6728)"
Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:48:11:253731', 83.2356)"
"('13:48:12:513689', 77.4543)"
"('13:48:13:773964', 64.7119)"
"('13:48:15:033350', 63.1963)"
"('13:48:16:290089', 62.5713)"
"('13:48:17:549598', 74.1652)"
"('13:48:18:806270', 62.1416)"
"('13:48:20:061733', 61.4697)"
"('13:48:21:324768', 61.7353)"
"('13:48:22:581505', 61.0869)"
"('13:48:23:839413', 60.6103)"
"('13:48:25:100650', 60.8447)"
"('13:48:26:358960', 60.6337)"
"('13:48:27:615673', 72.5167)"
"('13:48:28:871357', 61.9541)"
"('13:48:30:127377', 73.1261)"
"('13:48:31:383431', 74.9308)"
"('13:48:32:641499', 63.0791)"
"('13:48:33:897920', 73.8214)"
"('13:48:35:156648', 62.7275)"
"('13:48:36:412117', 61.2978)"
"('13:48:37:667878', 60.9462)"
"('13:48:38:930265', 72.8839)"
